State / County / Place,Total Population,"White alone, Not Hispanic",White Alone Percent of Total,"Black or African American alone, Not Hispanic",Black Alone Percent of Total,"American Indian and Alaska Native alone, Not Hispanic",AIAN Percent of Total,"Asian alone, Not Hispanic",Asian Percent of Total,"Native Hawaiian and Other Pacific Islander alone, Not Hispanic",NHOPI Percent of Total,"Some other race alone, Not Hispanic",Other Percent of Total,"Two or more races, Not Hispanic",Two Plus Percent of Total,Hispanic/ Latino (2),PERCENT_HISP,PERCENT_WHITE,Summary level,State,County,Census Tract
Census Tract 1413.05,"2,986","1,918",64.20%,185,6.20%,0,0.00%,218,7.30%,7,0.20%,30,1.00%,181,6.10%,447,0.15,0.64,140,6,37,141305
Census Tract 1413.06,"2,974","2,004",67.40%,142,4.80%,2,0.10%,275,9.20%,7,0.20%,15,0.50%,134,4.50%,395,0.13,0.67,140,6,37,141306
Census Tract 1414,"4,705","3,318",70.50%,154,3.30%,1,0.00%,390,8.30%,3,0.10%,38,0.80%,213,4.50%,588,0.13,0.71,140,6,37,141400
Census Tract 1415,"3,089","2,444",79.10%,47,1.50%,2,0.10%,226,7.30%,2,0.10%,8,0.30%,150,4.90%,210,0.07,0.79,140,6,37,141500
Census Tract 1416,"4,088","3,211",78.50%,50,1.20%,0,0.00%,304,7.40%,2,0.00%,18,0.40%,220,5.40%,283,0.07,0.79,140,6,37,141600
Census Tract 1417,"3,096","2,386",77.10%,69,2.20%,2,0.10%,226,7.30%,2,0.10%,16,0.50%,185,6.00%,210,0.07,0.77,140,6,37,141700
Census Tract 1431.01,"2,142","1,485",69.30%,82,3.80%,0,0.00%,114,5.30%,0,0.00%,15,0.70%,119,5.60%,327,0.15,0.69,140,6,37,143101
Census Tract 1431.02,"2,294","1,447",63.10%,144,6.30%,3,0.10%,172,7.50%,2,0.10%,16,0.70%,125,5.40%,385,0.17,0.63,140,6,37,143102
Census Tract 1432,"4,377","2,490",56.90%,283,6.50%,17,0.40%,386,8.80%,5,0.10%,35,0.80%,251,5.70%,910,0.21,0.57,140,6,37,143200
Census Tract 1433.01,"3,236","1,831",56.60%,171,5.30%,9,0.30%,234,7.20%,6,0.20%,29,0.90%,189,5.80%,767,0.24,0.57,140,6,37,143301
Census Tract 1433.02,"3,367","2,322",69.00%,123,3.70%,0,0.00%,285,8.50%,1,0.00%,16,0.50%,186,5.50%,434,0.13,0.69,140,6,37,143302
Census Tract 1434.01,"4,632","3,248",70.10%,224,4.80%,5,0.10%,319,6.90%,4,0.10%,24,0.50%,266,5.70%,542,0.12,0.7,140,6,37,143401
Census Tract 1434.02,"1,791","1,237",69.10%,58,3.20%,2,0.10%,136,7.60%,4,0.20%,7,0.40%,120,6.70%,227,0.13,0.69,140,6,37,143402
Census Tract 1435,"5,197","3,713",71.40%,157,3.00%,0,0.00%,350,6.70%,0,0.00%,36,0.70%,356,6.90%,585,0.11,0.71,140,6,37,143500
Census Tract 1436.02,"4,740","3,366",71.00%,203,4.30%,4,0.10%,369,7.80%,4,0.10%,50,1.10%,243,5.10%,501,0.11,0.71,140,6,37,143602
Census Tract 1436.03,"2,482","1,602",64.50%,130,5.20%,6,0.20%,248,10.00%,5,0.20%,25,1.00%,132,5.30%,334,0.14,0.65,140,6,37,143603
Census Tract 1436.05,"1,945","1,027",52.80%,164,8.40%,6,0.30%,275,14.10%,5,0.30%,29,1.50%,139,7.10%,300,0.15,0.53,140,6,37,143605
Census Tract 1436.06,"1,581",914,57.80%,119,7.50%,5,0.30%,209,13.20%,0,0.00%,28,1.80%,93,5.90%,213,0.14,0.58,140,6,37,143606
Census Tract 1437,"3,800","2,719",71.60%,127,3.30%,2,0.10%,307,8.10%,5,0.10%,35,0.90%,235,6.20%,370,0.1,0.72,140,6,37,143700
Census Tract 1438.01,"2,926","2,104",71.90%,88,3.00%,4,0.10%,233,8.00%,1,0.00%,23,0.80%,176,6.00%,297,0.1,0.72,140,6,37,143801
Census Tract 1438.02,"2,298","1,674",72.80%,82,3.60%,2,0.10%,165,7.20%,0,0.00%,13,0.60%,136,5.90%,226,0.1,0.73,140,6,37,143802
Census Tract 1439.01,"4,319","3,292",76.20%,100,2.30%,5,0.10%,301,7.00%,0,0.00%,36,0.80%,246,5.70%,339,0.08,0.76,140,6,37,143901
Census Tract 1439.02,"2,979","2,234",75.00%,78,2.60%,11,0.40%,205,6.90%,0,0.00%,33,1.10%,145,4.90%,273,0.09,0.75,140,6,37,143902
Census Tract 1810,"6,132","2,552",41.60%,91,1.50%,15,0.20%,"1,465",23.90%,5,0.10%,46,0.80%,317,5.20%,"1,641",0.27,0.42,140,6,37,181000
Census Tract 1813,"3,613","1,252",34.70%,65,1.80%,7,0.20%,982,27.20%,4,0.10%,13,0.40%,183,5.10%,"1,107",0.31,0.35,140,6,37,181300
Census Tract 1814,"4,134","1,291",31.20%,79,1.90%,13,0.30%,"1,172",28.40%,3,0.10%,24,0.60%,179,4.30%,"1,373",0.33,0.31,140,6,37,181400
Census Tract 1815,"3,653","1,324",36.20%,52,1.40%,5,0.10%,701,19.20%,3,0.10%,21,0.60%,174,4.80%,"1,373",0.38,0.36,140,6,37,181500
Census Tract 1816,"4,247","1,645",38.70%,124,2.90%,11,0.30%,865,20.40%,15,0.40%,23,0.50%,254,6.00%,"1,310",0.31,0.39,140,6,37,181600
Census Tract 1831.01,"3,659","1,030",28.10%,64,1.70%,13,0.40%,361,9.90%,2,0.10%,37,1.00%,130,3.60%,"2,022",0.55,0.28,140,6,37,183101
Census Tract 1831.03,"3,839",658,17.10%,95,2.50%,22,0.60%,400,10.40%,3,0.10%,32,0.80%,110,2.90%,"2,519",0.66,0.17,140,6,37,183103
Census Tract 1831.04,"2,095",590,28.20%,36,1.70%,2,0.10%,364,17.40%,1,0.00%,18,0.90%,87,4.20%,997,0.48,0.28,140,6,37,183104
Census Tract 1832.20,"3,682",574,15.60%,49,1.30%,9,0.20%,470,12.80%,0,0.00%,14,0.40%,77,2.10%,"2,489",0.68,0.16,140,6,37,183220
Census Tract 1832.21,"2,901",834,28.70%,62,2.10%,15,0.50%,258,8.90%,4,0.10%,24,0.80%,105,3.60%,"1,599",0.55,0.29,140,6,37,183221
Census Tract 1832.22,"3,303","1,039",31.50%,64,1.90%,12,0.40%,576,17.40%,7,0.20%,18,0.50%,137,4.10%,"1,450",0.44,0.31,140,6,37,183222
Census Tract 1833,"3,083",550,17.80%,10,0.30%,10,0.30%,532,17.30%,0,0.00%,14,0.50%,69,2.20%,"1,898",0.62,0.18,140,6,37,183300
Census Tract 1834.01,"2,226",540,24.30%,29,1.30%,4,0.20%,423,19.00%,1,0.00%,6,0.30%,67,3.00%,"1,156",0.52,0.24,140,6,37,183401
Census Tract 1834.02,"2,997",671,22.40%,50,1.70%,7,0.20%,839,28.00%,3,0.10%,12,0.40%,126,4.20%,"1,289",0.43,0.22,140,6,37,183402
Census Tract 1835.10,"2,368",502,21.20%,16,0.70%,3,0.10%,160,6.80%,0,0.00%,12,0.50%,60,2.50%,"1,615",0.68,0.21,140,6,37,183510
Census Tract 1835.20,"3,450",616,17.90%,54,1.60%,3,0.10%,193,5.60%,0,0.00%,20,0.60%,81,2.30%,"2,483",0.72,0.18,140,6,37,183520
Census Tract 1836.10,"2,813",554,19.70%,37,1.30%,22,0.80%,247,8.80%,0,0.00%,16,0.60%,77,2.70%,"1,860",0.66,0.2,140,6,37,183610
Census Tract 1836.20,"2,912",619,21.30%,31,1.10%,8,0.30%,280,9.60%,3,0.10%,17,0.60%,74,2.50%,"1,880",0.65,0.21,140,6,37,183620
Census Tract 1837.01,"3,838",707,18.40%,82,2.10%,9,0.20%,252,6.60%,0,0.00%,16,0.40%,85,2.20%,"2,687",0.7,0.18,140,6,37,183701
Census Tract 1837.02,"2,669",650,24.40%,120,4.50%,0,0.00%,455,17.00%,4,0.10%,21,0.80%,111,4.20%,"1,308",0.49,0.24,140,6,37,183702
Census Tract 1838.10,"4,260",805,18.90%,78,1.80%,6,0.10%,194,4.60%,1,0.00%,20,0.50%,101,2.40%,"3,055",0.72,0.19,140,6,37,183810
Census Tract 1838.20,"3,626",410,11.30%,54,1.50%,9,0.20%,203,5.60%,1,0.00%,13,0.40%,33,0.90%,"2,903",0.8,0.11,140,6,37,183820
Census Tract 1851.01,"2,830",739,26.10%,35,1.20%,6,0.20%,239,8.40%,2,0.10%,4,0.10%,118,4.20%,"1,687",0.6,0.26,140,6,37,185101
Census Tract 1851.02,"2,990","1,506",50.40%,88,2.90%,2,0.10%,354,11.80%,2,0.10%,26,0.90%,197,6.60%,815,0.27,0.5,140,6,37,185102
Census Tract 1852.02,"3,682","1,139",30.90%,108,2.90%,5,0.10%,245,6.70%,0,0.00%,21,0.60%,175,4.80%,"1,989",0.54,0.31,140,6,37,185202
Census Tract 1852.03,"2,651",381,14.40%,21,0.80%,10,0.40%,209,7.90%,2,0.10%,4,0.20%,60,2.30%,"1,964",0.74,0.14,140,6,37,185203
Census Tract 1852.04,"1,977",675,34.10%,43,2.20%,2,0.10%,474,24.00%,3,0.20%,13,0.70%,77,3.90%,690,0.35,0.34,140,6,37,185204
Census Tract 1853.10,"2,724",207,7.60%,9,0.30%,4,0.10%,175,6.40%,1,0.00%,4,0.10%,32,1.20%,"2,292",0.84,0.08,140,6,37,185310
Census Tract 1853.20,"2,763",254,9.20%,36,1.30%,4,0.10%,198,7.20%,2,0.10%,13,0.50%,39,1.40%,"2,217",0.8,0.09,140,6,37,185320
Census Tract 1861,"4,678","1,613",34.50%,58,1.20%,13,0.30%,"1,177",25.20%,7,0.10%,37,0.80%,216,4.60%,"1,557",0.33,0.34,140,6,37,186100
Census Tract 1862.01,"3,085",647,21.00%,81,2.60%,3,0.10%,"1,110",36.00%,2,0.10%,15,0.50%,148,4.80%,"1,079",0.35,0.21,140,6,37,186201
Census Tract 1862.02,"1,985",485,24.40%,49,2.50%,9,0.50%,591,29.80%,2,0.10%,12,0.60%,71,3.60%,766,0.39,0.24,140,6,37,186202
Census Tract 1862.03,"2,751","1,126",40.90%,57,2.10%,9,0.30%,384,14.00%,0,0.00%,16,0.60%,152,5.50%,"1,007",0.37,0.41,140,6,37,186203
Census Tract 1863.01,"2,679",449,16.80%,57,2.10%,4,0.10%,303,11.30%,1,0.00%,16,0.60%,67,2.50%,"1,782",0.67,0.17,140,6,37,186301
Census Tract 1863.02,"5,190","1,410",27.20%,96,1.80%,1,0.00%,953,18.40%,5,0.10%,32,0.60%,196,3.80%,"2,497",0.48,0.27,140,6,37,186302
Census Tract 1864.01,"2,991",259,8.70%,52,1.70%,5,0.20%,431,14.40%,2,0.10%,4,0.10%,39,1.30%,"2,199",0.74,0.09,140,6,37,186401
Census Tract 1864.03,"2,521",324,12.90%,35,1.40%,6,0.20%,429,17.00%,4,0.20%,7,0.30%,47,1.90%,"1,669",0.66,0.13,140,6,37,186403
Census Tract 1864.04,"2,266",385,17.00%,28,1.20%,0,0.00%,246,10.90%,0,0.00%,17,0.80%,38,1.70%,"1,552",0.69,0.17,140,6,37,186404
Census Tract 1871.01,"3,011","1,013",33.60%,31,1.00%,11,0.40%,652,21.70%,2,0.10%,17,0.60%,120,4.00%,"1,165",0.39,0.34,140,6,37,187101
Census Tract 1871.02,"4,083",913,22.40%,65,1.60%,7,0.20%,829,20.30%,7,0.20%,17,0.40%,109,2.70%,"2,136",0.52,0.22,140,6,37,187102
Census Tract 1872,"2,801",521,18.60%,43,1.50%,6,0.20%,386,13.80%,0,0.00%,10,0.40%,54,1.90%,"1,781",0.64,0.19,140,6,37,187200
Census Tract 1873,"3,456","1,833",53.00%,80,2.30%,6,0.20%,675,19.50%,4,0.10%,25,0.70%,171,4.90%,662,0.19,0.53,140,6,37,187300
Census Tract 1881,"4,070","1,415",34.80%,98,2.40%,6,0.10%,422,10.40%,3,0.10%,14,0.30%,132,3.20%,"1,980",0.49,0.35,140,6,37,188100
Census Tract 1882.01,"3,378","2,067",61.20%,141,4.20%,8,0.20%,326,9.70%,2,0.10%,24,0.70%,231,6.80%,579,0.17,0.61,140,6,37,188201
Census Tract 1882.02,"2,460","1,615",65.70%,77,3.10%,1,0.00%,343,13.90%,4,0.20%,16,0.70%,135,5.50%,269,0.11,0.66,140,6,37,188202
Census Tract 1883,"3,271","1,386",42.40%,37,1.10%,4,0.10%,801,24.50%,2,0.10%,13,0.40%,158,4.80%,870,0.27,0.42,140,6,37,188300
Census Tract 1891.01,"2,589","1,707",65.90%,60,2.30%,5,0.20%,267,10.30%,2,0.10%,16,0.60%,149,5.80%,383,0.15,0.66,140,6,37,189101
Census Tract 1891.02,"3,316","2,293",69.10%,82,2.50%,4,0.10%,289,8.70%,2,0.10%,26,0.80%,163,4.90%,457,0.14,0.69,140,6,37,189102
Census Tract 1892.01,"3,256","2,133",65.50%,140,4.30%,6,0.20%,313,9.60%,4,0.10%,11,0.30%,124,3.80%,525,0.16,0.66,140,6,37,189201
Census Tract 1892.02,"2,775","1,955",70.50%,37,1.30%,4,0.10%,290,10.50%,5,0.20%,18,0.60%,155,5.60%,311,0.11,0.7,140,6,37,189202
Census Tract 1893,"3,216","2,263",70.40%,77,2.40%,3,0.10%,399,12.40%,2,0.10%,17,0.50%,180,5.60%,275,0.09,0.7,140,6,37,189300
Census Tract 1894,"3,575","2,695",75.40%,97,2.70%,6,0.20%,189,5.30%,5,0.10%,20,0.60%,227,6.30%,336,0.09,0.75,140,6,37,189400
Census Tract 1895.01,"2,183","1,591",72.90%,76,3.50%,2,0.10%,128,5.90%,0,0.00%,15,0.70%,119,5.50%,252,0.12,0.73,140,6,37,189501
Census Tract 1895.02,"2,251","1,428",63.40%,126,5.60%,3,0.10%,152,6.80%,0,0.00%,18,0.80%,125,5.60%,399,0.18,0.63,140,6,37,189502
Census Tract 1896,"3,738","2,435",65.10%,211,5.60%,6,0.20%,257,6.90%,0,0.00%,37,1.00%,196,5.20%,596,0.16,0.65,140,6,37,189600
Census Tract 1897.02,"2,389","1,649",69.00%,105,4.40%,5,0.20%,183,7.70%,0,0.00%,27,1.10%,142,5.90%,278,0.12,0.69,140,6,37,189702
Census Tract 1897.03,"2,259","1,418",62.80%,154,6.80%,0,0.00%,182,8.10%,4,0.20%,18,0.80%,157,6.90%,326,0.14,0.63,140,6,37,189703
Census Tract 1897.04,"2,786","1,780",63.90%,163,5.90%,5,0.20%,271,9.70%,6,0.20%,40,1.40%,165,5.90%,356,0.13,0.64,140,6,37,189704
Census Tract 1898.01,"2,302","1,637",71.10%,95,4.10%,1,0.00%,115,5.00%,2,0.10%,15,0.70%,126,5.50%,311,0.14,0.71,140,6,37,189801
Census Tract 1898.02,"2,005","1,397",69.70%,121,6.00%,0,0.00%,113,5.60%,0,0.00%,13,0.60%,123,6.10%,238,0.12,0.7,140,6,37,189802
Census Tract 1899.03,"2,228","1,539",69.10%,135,6.10%,2,0.10%,174,7.80%,4,0.20%,18,0.80%,107,4.80%,249,0.11,0.69,140,6,37,189903
Census Tract 1899.04,"2,502","1,582",63.20%,130,5.20%,1,0.00%,205,8.20%,0,0.00%,33,1.30%,186,7.40%,365,0.15,0.63,140,6,37,189904
Census Tract 1899.05,"2,462","1,680",68.20%,128,5.20%,9,0.40%,134,5.40%,6,0.20%,27,1.10%,110,4.50%,368,0.15,0.68,140,6,37,189905
Census Tract 1899.06,"2,746","1,791",65.20%,185,6.70%,7,0.30%,228,8.30%,1,0.00%,30,1.10%,160,5.80%,344,0.13,0.65,140,6,37,189906
Census Tract 1899.07,"2,434","1,667",68.50%,145,6.00%,6,0.20%,161,6.60%,4,0.20%,23,0.90%,128,5.30%,300,0.12,0.68,140,6,37,189907
Census Tract 1901.01,"1,832","1,002",54.70%,168,9.20%,0,0.00%,150,8.20%,0,0.00%,27,1.50%,117,6.40%,368,0.2,0.55,140,6,37,190101
Census Tract 1901.02,"2,737","1,442",52.70%,185,6.80%,6,0.20%,223,8.10%,9,0.30%,52,1.90%,175,6.40%,645,0.24,0.53,140,6,37,190102
Census Tract 1902.01,"2,872","1,235",43.00%,341,11.90%,15,0.50%,128,4.50%,13,0.50%,124,4.30%,139,4.80%,877,0.31,0.43,140,6,37,190201
Census Tract 1902.02,"3,568","1,854",52.00%,369,10.30%,17,0.50%,354,9.90%,3,0.10%,54,1.50%,220,6.20%,697,0.2,0.52,140,6,37,190202
Census Tract 1903.02,"2,283","1,313",57.50%,172,7.50%,8,0.40%,190,8.30%,6,0.30%,36,1.60%,111,4.90%,447,0.2,0.58,140,6,37,190302
Census Tract 1903.03,"2,470","1,308",53.00%,142,5.70%,3,0.10%,250,10.10%,1,0.00%,14,0.60%,105,4.30%,647,0.26,0.53,140,6,37,190303
Census Tract 1904.01,"2,857","1,690",59.20%,119,4.20%,7,0.20%,286,10.00%,2,0.10%,12,0.40%,131,4.60%,610,0.21,0.59,140,6,37,190401
Census Tract 1904.02,"2,388","1,343",56.20%,89,3.70%,4,0.20%,339,14.20%,6,0.30%,15,0.60%,84,3.50%,508,0.21,0.56,140,6,37,190402
Census Tract 1905.10,"4,362","1,531",35.10%,358,8.20%,3,0.10%,771,17.70%,0,0.00%,38,0.90%,194,4.40%,"1,467",0.34,0.35,140,6,37,190510
Census Tract 1905.20,"3,489","1,471",42.20%,154,4.40%,7,0.20%,520,14.90%,5,0.10%,22,0.60%,124,3.60%,"1,186",0.34,0.42,140,6,37,190520
Census Tract 1907.01,"1,867",831,44.50%,169,9.10%,10,0.50%,198,10.60%,7,0.40%,11,0.60%,97,5.20%,544,0.29,0.45,140,6,37,190701
Census Tract 1907.02,"1,420",640,45.10%,63,4.40%,2,0.10%,118,8.30%,1,0.10%,17,1.20%,50,3.50%,529,0.37,0.45,140,6,37,190702
Census Tract 1908.01,"2,500",910,36.40%,152,6.10%,4,0.20%,229,9.20%,0,0.00%,16,0.60%,86,3.40%,"1,103",0.44,0.36,140,6,37,190801
Census Tract 1908.02,"2,794",986,35.30%,200,7.20%,2,0.10%,241,8.60%,9,0.30%,52,1.90%,92,3.30%,"1,212",0.43,0.35,140,6,37,190802
Census Tract 1909.01,"4,016",604,15.00%,168,4.20%,8,0.20%,120,3.00%,0,0.00%,19,0.50%,73,1.80%,"3,024",0.75,0.15,140,6,37,190901
Census Tract 1909.02,"3,608","1,088",30.20%,172,4.80%,5,0.10%,239,6.60%,0,0.00%,30,0.80%,120,3.30%,"1,954",0.54,0.3,140,6,37,190902
Census Tract 1910,"5,893","2,555",43.40%,646,11.00%,14,0.20%,612,10.40%,7,0.10%,67,1.10%,340,5.80%,"1,652",0.28,0.43,140,6,37,191000
Census Tract 1911.10,"3,141","1,515",48.20%,102,3.20%,2,0.10%,379,12.10%,3,0.10%,17,0.50%,67,2.10%,"1,056",0.34,0.48,140,6,37,191110
Census Tract 1911.20,"3,801","1,210",31.80%,158,4.20%,8,0.20%,386,10.20%,0,0.00%,30,0.80%,104,2.70%,"1,905",0.5,0.32,140,6,37,191120
Census Tract 1912.01,"4,072","2,162",53.10%,116,2.80%,9,0.20%,468,11.50%,9,0.20%,14,0.30%,164,4.00%,"1,130",0.28,0.53,140,6,37,191201
Census Tract 1912.03,"2,531",773,30.50%,122,4.80%,9,0.40%,412,16.30%,2,0.10%,5,0.20%,81,3.20%,"1,127",0.45,0.31,140,6,37,191203
Census Tract 1912.04,"1,862",685,36.80%,53,2.80%,3,0.20%,297,16.00%,1,0.10%,13,0.70%,39,2.10%,771,0.41,0.37,140,6,37,191204
Census Tract 1913.01,"2,076",486,23.40%,95,4.60%,0,0.00%,416,20.00%,1,0.00%,4,0.20%,46,2.20%,"1,028",0.5,0.23,140,6,37,191301
Census Tract 1913.02,"2,192",587,26.80%,95,4.30%,0,0.00%,524,23.90%,0,0.00%,19,0.90%,73,3.30%,894,0.41,0.27,140,6,37,191302
Census Tract 1914.10,"3,924",587,15.00%,120,3.10%,7,0.20%,511,13.00%,3,0.10%,22,0.60%,92,2.30%,"2,582",0.66,0.15,140,6,37,191410
Census Tract 1914.20,"2,837",552,19.50%,85,3.00%,9,0.30%,340,12.00%,6,0.20%,16,0.60%,78,2.70%,"1,751",0.62,0.19,140,6,37,191420
Census Tract 1915,"4,980","1,007",20.20%,135,2.70%,4,0.10%,975,19.60%,6,0.10%,29,0.60%,92,1.80%,"2,732",0.55,0.2,140,6,37,191500
Census Tract 1916.10,"4,271",823,19.30%,138,3.20%,3,0.10%,442,10.30%,7,0.20%,18,0.40%,117,2.70%,"2,723",0.64,0.19,140,6,37,191610
Census Tract 1916.20,"2,628",544,20.70%,77,2.90%,0,0.00%,338,12.90%,6,0.20%,15,0.60%,65,2.50%,"1,583",0.6,0.21,140,6,37,191620
Census Tract 1917.10,"2,576",565,21.90%,134,5.20%,5,0.20%,241,9.40%,4,0.20%,20,0.80%,57,2.20%,"1,550",0.6,0.22,140,6,37,191710
Census Tract 1917.20,"3,534",539,15.30%,100,2.80%,4,0.10%,328,9.30%,0,0.00%,25,0.70%,54,1.50%,"2,484",0.7,0.15,140,6,37,191720
Census Tract 1918.10,"3,028",748,24.70%,165,5.40%,7,0.20%,177,5.80%,4,0.10%,20,0.70%,83,2.70%,"1,824",0.6,0.25,140,6,37,191810
Census Tract 1918.20,"3,279","1,270",38.70%,201,6.10%,0,0.00%,310,9.50%,1,0.00%,35,1.10%,181,5.50%,"1,281",0.39,0.39,140,6,37,191820
Census Tract 1919.01,"3,563","1,773",49.80%,304,8.50%,9,0.30%,333,9.30%,5,0.10%,38,1.10%,192,5.40%,909,0.26,0.5,140,6,37,191901
Census Tract 1919.02,"2,961","1,905",64.30%,114,3.90%,6,0.20%,306,10.30%,1,0.00%,29,1.00%,187,6.30%,413,0.14,0.64,140,6,37,191902
Census Tract 1920.01,"2,574","1,774",68.90%,134,5.20%,2,0.10%,200,7.80%,0,0.00%,39,1.50%,101,3.90%,324,0.13,0.69,140,6,37,192001
Census Tract 1920.02,"2,550","1,874",73.50%,58,2.30%,0,0.00%,153,6.00%,3,0.10%,18,0.70%,138,5.40%,306,0.12,0.73,140,6,37,192002
Census Tract 1923,"2,863","1,816",63.40%,132,4.60%,2,0.10%,460,16.10%,1,0.00%,10,0.30%,154,5.40%,288,0.1,0.63,140,6,37,192300
Census Tract 1924.10,"3,573","1,695",47.40%,150,4.20%,1,0.00%,809,22.60%,2,0.10%,31,0.90%,178,5.00%,707,0.2,0.47,140,6,37,192410
Census Tract 1924.20,"3,645",633,17.40%,143,3.90%,6,0.20%,"1,248",34.20%,1,0.00%,49,1.30%,111,3.00%,"1,454",0.4,0.17,140,6,37,192420
Census Tract 1925.10,"3,508",241,6.90%,66,1.90%,18,0.50%,"1,237",35.30%,4,0.10%,21,0.60%,62,1.80%,"1,859",0.53,0.07,140,6,37,192510
Census Tract 1925.20,"4,326",335,7.70%,93,2.10%,4,0.10%,737,17.00%,2,0.00%,34,0.80%,70,1.60%,"3,051",0.71,0.08,140,6,37,192520
Census Tract 1926.10,"4,149",527,12.70%,163,3.90%,10,0.20%,567,13.70%,2,0.00%,35,0.80%,63,1.50%,"2,782",0.67,0.13,140,6,37,192610
Census Tract 1926.20,"3,260",280,8.60%,95,2.90%,3,0.10%,800,24.50%,3,0.10%,34,1.00%,67,2.10%,"1,978",0.61,0.09,140,6,37,192620
Census Tract 1927,"3,550",545,15.40%,185,5.20%,19,0.50%,730,20.60%,8,0.20%,24,0.70%,101,2.80%,"1,938",0.55,0.15,140,6,37,192700
Census Tract 1941.01,"3,236","2,289",70.70%,119,3.70%,5,0.20%,182,5.60%,4,0.10%,13,0.40%,201,6.20%,423,0.13,0.71,140,6,37,194101
Census Tract 1941.02,"3,462","2,644",76.40%,117,3.40%,9,0.30%,228,6.60%,3,0.10%,28,0.80%,208,6.00%,225,0.07,0.76,140,6,37,194102
Census Tract 1942,"3,596","2,864",79.60%,63,1.80%,3,0.10%,160,4.40%,0,0.00%,26,0.70%,188,5.20%,292,0.08,0.8,140,6,37,194200
Census Tract 1943,"2,972","2,312",77.80%,86,2.90%,4,0.10%,143,4.80%,0,0.00%,14,0.50%,175,5.90%,238,0.08,0.78,140,6,37,194300
Census Tract 1944.01,"2,559","1,708",66.70%,142,5.50%,3,0.10%,193,7.50%,0,0.00%,41,1.60%,147,5.70%,325,0.13,0.67,140,6,37,194401
Census Tract 1944.02,"3,146","2,376",75.50%,74,2.40%,2,0.10%,245,7.80%,7,0.20%,24,0.80%,138,4.40%,280,0.09,0.76,140,6,37,194402
Census Tract 1945,"2,347","1,703",72.60%,66,2.80%,4,0.20%,244,10.40%,1,0.00%,25,1.10%,90,3.80%,214,0.09,0.73,140,6,37,194500
Census Tract 1951,"4,974","3,115",62.60%,121,2.40%,5,0.10%,722,14.50%,3,0.10%,38,0.80%,303,6.10%,667,0.13,0.63,140,6,37,195100
Census Tract 1952.01,"3,080","1,954",63.40%,54,1.80%,1,0.00%,302,9.80%,7,0.20%,38,1.20%,194,6.30%,530,0.17,0.63,140,6,37,195201
Census Tract 1952.02,"3,194","2,113",66.20%,76,2.40%,3,0.10%,330,10.30%,0,0.00%,10,0.30%,223,7.00%,439,0.14,0.66,140,6,37,195202
Census Tract 1953,"3,070","1,692",55.10%,56,1.80%,2,0.10%,359,11.70%,5,0.20%,17,0.60%,172,5.60%,767,0.25,0.55,140,6,37,195300
Census Tract 1954,"4,244","2,438",57.40%,135,3.20%,2,0.00%,507,11.90%,3,0.10%,33,0.80%,247,5.80%,879,0.21,0.57,140,6,37,195400
Census Tract 1955,"4,991","2,417",48.40%,120,2.40%,3,0.10%,852,17.10%,4,0.10%,34,0.70%,245,4.90%,"1,316",0.26,0.48,140,6,37,195500
Census Tract 1956,"3,056",973,31.80%,112,3.70%,5,0.20%,331,10.80%,0,0.00%,19,0.60%,118,3.90%,"1,498",0.49,0.32,140,6,37,195600
Census Tract 1957.10,"3,939",880,22.30%,127,3.20%,7,0.20%,536,13.60%,3,0.10%,22,0.60%,84,2.10%,"2,280",0.58,0.22,140,6,37,195710
Census Tract 1957.20,"1,896",619,32.60%,45,2.40%,2,0.10%,203,10.70%,1,0.10%,19,1.00%,68,3.60%,939,0.5,0.33,140,6,37,195720
Census Tract 1958.02,"2,744",485,17.70%,112,4.10%,9,0.30%,711,25.90%,1,0.00%,18,0.70%,59,2.20%,"1,349",0.49,0.18,140,6,37,195802
Census Tract 1958.03,"2,457","1,063",43.30%,97,3.90%,12,0.50%,313,12.70%,0,0.00%,16,0.70%,126,5.10%,830,0.34,0.43,140,6,37,195803
Census Tract 1958.04,"2,459",806,32.80%,54,2.20%,4,0.20%,388,15.80%,1,0.00%,12,0.50%,95,3.90%,"1,099",0.45,0.33,140,6,37,195804
Census Tract 1959.01,"2,248","1,023",45.50%,61,2.70%,6,0.30%,358,15.90%,10,0.40%,9,0.40%,109,4.80%,672,0.3,0.46,140,6,37,195901
Census Tract 1959.02,"1,848","1,055",57.10%,52,2.80%,2,0.10%,214,11.60%,1,0.10%,10,0.50%,112,6.10%,402,0.22,0.57,140,6,37,195902
Census Tract 1959.03,"1,988",647,32.50%,53,2.70%,3,0.20%,328,16.50%,2,0.10%,11,0.60%,90,4.50%,854,0.43,0.33,140,6,37,195903
Census Tract 1972,"3,287",317,9.60%,10,0.30%,9,0.30%,"1,121",34.10%,0,0.00%,6,0.20%,86,2.60%,"1,738",0.53,0.1,140,6,37,197200
Census Tract 1973,"3,650","1,553",42.50%,78,2.10%,8,0.20%,457,12.50%,1,0.00%,27,0.70%,150,4.10%,"1,376",0.38,0.43,140,6,37,197300
Census Tract 1974.10,"3,707","1,867",50.40%,66,1.80%,5,0.10%,324,8.70%,4,0.10%,30,0.80%,212,5.70%,"1,199",0.32,0.5,140,6,37,197410
Census Tract 1974.20,"3,376","1,089",32.30%,83,2.50%,12,0.40%,351,10.40%,4,0.10%,20,0.60%,119,3.50%,"1,698",0.5,0.32,140,6,37,197420
