State / County / Place,Total Population,"White alone, Not Hispanic",White Alone Percent of Total,"Black or African American alone, Not Hispanic",Black Alone Percent of Total,"American Indian and Alaska Native alone, Not Hispanic",AIAN Percent of Total,"Asian alone, Not Hispanic",Asian Percent of Total,"Native Hawaiian and Other Pacific Islander alone, Not Hispanic",NHOPI Percent of Total,"Some other race alone, Not Hispanic",Other Percent of Total,"Two or more races, Not Hispanic",Two Plus Percent of Total,Hispanic/ Latino (2),Hispanic Percent of Total,Summary level,State,County,Census Tract,,,,
Census Tract 109,"6,403",876,13.7%,23,0.4%,6,0.1%,19,0.3%,1,0.0%,13,0.2%,74,1.2%,"5,391",84.2%,140,06,025,010900,,,,
Census Tract 110.01,"6,362",811,12.7%,103,1.6%,16,0.3%,92,1.4%,8,0.1%,11,0.2%,67,1.1%,"5,254",82.6%,140,06,025,011001,,,,
Census Tract 110.02,"9,436","1,436",15.2%,135,1.4%,17,0.2%,224,2.4%,5,0.1%,29,0.3%,104,1.1%,"7,486",79.3%,140,06,025,011002,,,,
Census Tract 111,"3,293",658,20.0%,97,2.9%,10,0.3%,31,0.9%,1,0.0%,15,0.5%,64,1.9%,"2,417",73.4%,140,06,025,011100,,,,
Census Tract 112.01,"8,254","1,050",12.7%,103,1.2%,13,0.2%,210,2.5%,3,0.0%,31,0.4%,101,1.2%,"6,743",81.7%,140,06,025,011201,,,,
Census Tract 112.02,"5,508",267,4.8%,49,0.9%,9,0.2%,36,0.7%,3,0.1%,24,0.4%,17,0.3%,"5,103",92.6%,140,06,025,011202,,,,
Census Tract 113.01,"3,549",68,1.9%,0,0.0%,4,0.1%,1,0.0%,1,0.0%,4,0.1%,6,0.2%,"3,465",97.6%,140,06,025,011301,,,,
Census Tract 113.02,"1,672",101,6.0%,8,0.5%,4,0.2%,5,0.3%,0,0.0%,3,0.2%,13,0.8%,"1,538",92.0%,140,06,025,011302,,,,
Census Tract 113.03,"4,551",244,5.4%,24,0.5%,11,0.2%,21,0.5%,1,0.0%,16,0.4%,19,0.4%,"4,215",92.6%,140,06,025,011303,,,,
Census Tract 114,"4,476",135,3.0%,218,4.9%,0,0.0%,18,0.4%,1,0.0%,12,0.3%,23,0.5%,"4,069",90.9%,140,06,025,011400,,,,
Census Tract 115,"6,059",290,4.8%,104,1.7%,13,0.2%,60,1.0%,0,0.0%,18,0.3%,31,0.5%,"5,543",91.5%,140,06,025,011500,,,,
Census Tract 116,"6,615",445,6.7%,73,1.1%,4,0.1%,17,0.3%,0,0.0%,28,0.4%,66,1.0%,"5,982",90.4%,140,06,025,011600,,,,
Census Tract 117,"5,046",443,8.8%,53,1.1%,13,0.3%,34,0.7%,4,0.1%,13,0.3%,35,0.7%,"4,451",88.2%,140,06,025,011700,,,,
Census Tract 118.01,"3,982",855,21.5%,22,0.6%,10,0.3%,93,2.3%,0,0.0%,13,0.3%,54,1.4%,"2,935",73.7%,140,06,025,011801,,,,
Census Tract 118.02,"5,245",604,11.5%,113,2.2%,11,0.2%,44,0.8%,4,0.1%,2,0.0%,44,0.8%,"4,423",84.3%,140,06,025,011802,,,,
Census Tract 118.03,"6,175",726,11.8%,76,1.2%,7,0.1%,262,4.2%,3,0.0%,33,0.5%,50,0.8%,"5,018",81.3%,140,06,025,011803,,,,
Census Tract 119.01,"2,289",50,2.2%,8,0.3%,0,0.0%,13,0.6%,0,0.0%,3,0.1%,8,0.3%,"2,207",96.4%,140,06,025,011901,,,,
Census Tract 119.02,"3,927",43,1.1%,0,0.0%,0,0.0%,5,0.1%,4,0.1%,2,0.1%,4,0.1%,"3,869",98.5%,140,06,025,011902,,,,
Census Tract 119.03,"5,400",143,2.6%,37,0.7%,0,0.0%,394,7.3%,0,0.0%,19,0.4%,9,0.2%,"4,798",88.9%,140,06,025,011903,,,,
Census Tract 120.01,"3,801",35,0.9%,1,0.0%,0,0.0%,9,0.2%,0,0.0%,12,0.3%,7,0.2%,"3,737",98.3%,140,06,025,012001,,,,
Census Tract 120.03,"3,882",73,1.9%,6,0.2%,0,0.0%,125,3.2%,0,0.0%,13,0.3%,13,0.3%,"3,652",94.1%,140,06,025,012003,,,,
Census Tract 120.04,"5,935",72,1.2%,8,0.1%,2,0.0%,52,0.9%,0,0.0%,16,0.3%,15,0.3%,"5,770",97.2%,140,06,025,012004,,,,
Census Tract 121.01,"3,563",89,2.5%,9,0.3%,3,0.1%,30,0.8%,0,0.0%,10,0.3%,10,0.3%,"3,412",95.8%,140,06,025,012101,,,,
Census Tract 121.02,"3,455",46,1.3%,0,0.0%,1,0.0%,14,0.4%,0,0.0%,15,0.4%,6,0.2%,"3,373",97.6%,140,06,025,012102,,,,
Census Tract 122.01,"4,139",51,1.2%,7,0.2%,0,0.0%,23,0.6%,0,0.0%,9,0.2%,4,0.1%,"4,045",97.7%,140,06,025,012201,,,,
Census Tract 122.02,"3,294",19,0.6%,0,0.0%,0,0.0%,5,0.2%,0,0.0%,3,0.1%,10,0.3%,"3,257",98.9%,140,06,025,012202,,,,
Census Tract 123.01,"4,493",650,14.5%,"1,082",24.1%,37,0.8%,43,1.0%,7,0.2%,17,0.4%,74,1.6%,"2,583",57.5%,140,06,025,012301,,,,
Census Tract 123.02,"6,288",894,14.2%,72,1.1%,34,0.5%,31,0.5%,4,0.1%,13,0.2%,103,1.6%,"5,137",81.7%,140,06,025,012302,,,,
Census Tract 124,756,503,66.5%,27,3.6%,14,1.9%,2,0.3%,2,0.3%,2,0.3%,36,4.8%,170,22.5%,140,06,025,012400,,,,
Census Tract 9400,"2,698",362,13.4%,8,0.3%,"1,247",46.2%,9,0.3%,2,0.1%,26,1.0%,101,3.7%,943,35.0%,140,06,025,940000,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Inyo County,"19,016","11,035",58.0%,85,0.4%,"2,189",11.5%,273,1.4%,13,0.1%,87,0.5%,935,4.9%,"4,399",23.1%,050,06,027,,,,,
Census Tract 1,"2,943","1,876",63.7%,4,0.1%,40,1.4%,44,1.5%,0,0.0%,4,0.1%,127,4.3%,848,28.8%,140,06,027,000100,,,,
Census Tract 2,"1,698","1,244",73.3%,36,2.1%,43,2.5%,16,0.9%,0,0.0%,8,0.5%,90,5.3%,261,15.4%,140,06,027,000200,,,,
Census Tract 3,"2,642","2,098",79.4%,6,0.2%,41,1.6%,52,2.0%,0,0.0%,16,0.6%,135,5.1%,294,11.1%,140,06,027,000300,,,,
Census Tract 4,"5,792","2,531",43.7%,9,0.2%,"1,298",22.4%,95,1.6%,3,0.1%,30,0.5%,278,4.8%,"1,548",26.7%,140,06,027,000400,,,,
Census Tract 5,"2,606","1,487",57.1%,3,0.1%,493,18.9%,28,1.1%,4,0.2%,15,0.6%,153,5.9%,423,16.2%,140,06,027,000500,,,,
Census Tract 8,"3,335","1,799",53.9%,27,0.8%,274,8.2%,38,1.1%,6,0.2%,14,0.4%,152,4.6%,"1,025",30.7%,140,06,027,000800,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Kern County,"909,235","279,600",30.8%,"46,776",5.1%,"5,197",0.6%,"44,257",4.9%,"1,127",0.1%,"4,557",0.5%,"28,563",3.1%,"499,158",54.9%,050,06,029,,,,,
Census Tract 1.02,"3,422","2,240",65.5%,50,1.5%,43,1.3%,6,0.2%,2,0.1%,14,0.4%,210,6.1%,857,25.0%,140,06,029,000102,,,,
Census Tract 1.03,"3,816","2,425",63.5%,61,1.6%,63,1.7%,14,0.4%,0,0.0%,22,0.6%,219,5.7%,"1,012",26.5%,140,06,029,000103,,,,
Census Tract 1.04,"1,654","1,041",62.9%,45,2.7%,5,0.3%,22,1.3%,2,0.1%,12,0.7%,93,5.6%,434,26.2%,140,06,029,000104,,,,
Census Tract 1.05,"5,340","3,302",61.8%,102,1.9%,37,0.7%,116,2.2%,4,0.1%,39,0.7%,298,5.6%,"1,442",27.0%,140,06,029,000105,,,,
Census Tract 1.06,"2,665","1,489",55.9%,76,2.9%,33,1.2%,53,2.0%,11,0.4%,20,0.8%,126,4.7%,857,32.2%,140,06,029,000106,,,,
Census Tract 2.01,"4,449","2,411",54.2%,134,3.0%,58,1.3%,31,0.7%,7,0.2%,12,0.3%,235,5.3%,"1,561",35.1%,140,06,029,000201,,,,
Census Tract 2.02,"3,797","2,211",58.2%,60,1.6%,28,0.7%,31,0.8%,1,0.0%,3,0.1%,200,5.3%,"1,263",33.3%,140,06,029,000202,,,,
Census Tract 3,"4,630","2,681",57.9%,130,2.8%,38,0.8%,36,0.8%,4,0.1%,12,0.3%,182,3.9%,"1,547",33.4%,140,06,029,000300,,,,
Census Tract 4,"4,757","2,367",49.8%,210,4.4%,87,1.8%,26,0.5%,0,0.0%,15,0.3%,231,4.9%,"1,821",38.3%,140,06,029,000400,,,,
Census Tract 5.04,"4,615","2,808",60.8%,158,3.4%,38,0.8%,65,1.4%,8,0.2%,29,0.6%,188,4.1%,"1,321",28.6%,140,06,029,000504,,,,
Census Tract 5.05,"3,738","2,486",66.5%,44,1.2%,23,0.6%,70,1.9%,0,0.0%,46,1.2%,213,5.7%,856,22.9%,140,06,029,000505,,,,
Census Tract 5.06,"2,323","1,175",50.6%,78,3.4%,16,0.7%,263,11.3%,6,0.3%,25,1.1%,74,3.2%,686,29.5%,140,06,029,000506,,,,
Census Tract 5.07,"3,757","2,101",55.9%,65,1.7%,34,0.9%,73,1.9%,4,0.1%,53,1.4%,151,4.0%,"1,276",34.0%,140,06,029,000507,,,,
Census Tract 5.08,"1,920","1,387",72.2%,29,1.5%,6,0.3%,19,1.0%,0,0.0%,0,0.0%,107,5.6%,372,19.4%,140,06,029,000508,,,,
Census Tract 5.09,"2,659","1,674",63.0%,31,1.2%,12,0.5%,210,7.9%,0,0.0%,11,0.4%,140,5.3%,581,21.9%,140,06,029,000509,,,,
Census Tract 5.10,"4,223","2,295",54.3%,53,1.3%,24,0.6%,313,7.4%,0,0.0%,21,0.5%,224,5.3%,"1,293",30.6%,140,06,029,000510,,,,
Census Tract 6.01,"2,453",874,35.6%,305,12.4%,22,0.9%,72,2.9%,0,0.0%,4,0.2%,104,4.2%,"1,072",43.7%,140,06,029,000601,,,,
Census Tract 6.02,"2,939",467,15.9%,604,20.6%,28,1.0%,38,1.3%,7,0.2%,22,0.7%,125,4.3%,"1,648",56.1%,140,06,029,000602,,,,
Census Tract 6.03,"2,316",400,17.3%,429,18.5%,12,0.5%,14,0.6%,3,0.1%,15,0.6%,53,2.3%,"1,390",60.0%,140,06,029,000603,,,,
Census Tract 7.01,"2,927",864,29.5%,93,3.2%,28,1.0%,48,1.6%,3,0.1%,10,0.3%,95,3.2%,"1,786",61.0%,140,06,029,000701,,,,
Census Tract 7.02,"2,504","1,085",43.3%,44,1.8%,4,0.2%,54,2.2%,1,0.0%,7,0.3%,76,3.0%,"1,233",49.2%,140,06,029,000702,,,,
Census Tract 8,"5,600","1,278",22.8%,220,3.9%,42,0.8%,58,1.0%,6,0.1%,20,0.4%,140,2.5%,"3,836",68.5%,140,06,029,000800,,,,
Census Tract 9.02,"3,891","1,029",26.4%,180,4.6%,39,1.0%,82,2.1%,1,0.0%,12,0.3%,106,2.7%,"2,442",62.8%,140,06,029,000902,,,,
Census Tract 9.03,"4,347","1,281",29.5%,132,3.0%,33,0.8%,155,3.6%,5,0.1%,43,1.0%,127,2.9%,"2,571",59.1%,140,06,029,000903,,,,
Census Tract 9.04,"4,239","1,014",23.9%,165,3.9%,26,0.6%,112,2.6%,21,0.5%,21,0.5%,118,2.8%,"2,762",65.2%,140,06,029,000904,,,,
Census Tract 9.05,"2,631",492,18.7%,87,3.3%,12,0.5%,14,0.5%,0,0.0%,17,0.6%,56,2.1%,"1,953",74.2%,140,06,029,000905,,,,
Census Tract 9.06,"4,504",718,15.9%,106,2.4%,29,0.6%,23,0.5%,0,0.0%,22,0.5%,111,2.5%,"3,495",77.6%,140,06,029,000906,,,,
Census Tract 9.07,"2,600",456,17.5%,95,3.7%,25,1.0%,21,0.8%,0,0.0%,11,0.4%,44,1.7%,"1,948",74.9%,140,06,029,000907,,,,
Census Tract 9.08,"5,429","1,583",29.2%,209,3.8%,39,0.7%,120,2.2%,19,0.3%,40,0.7%,150,2.8%,"3,269",60.2%,140,06,029,000908,,,,
Census Tract 9.09,"2,618","1,245",47.6%,53,2.0%,18,0.7%,99,3.8%,1,0.0%,11,0.4%,117,4.5%,"1,074",41.0%,140,06,029,000909,,,,
Census Tract 9.11,"2,756",727,26.4%,231,8.4%,20,0.7%,65,2.4%,5,0.2%,29,1.1%,84,3.0%,"1,595",57.9%,140,06,029,000911,,,,
Census Tract 9.12,"3,349","1,029",30.7%,82,2.4%,12,0.4%,84,2.5%,7,0.2%,19,0.6%,75,2.2%,"2,041",60.9%,140,06,029,000912,,,,
Census Tract 9.13,"3,743","1,541",41.2%,145,3.9%,24,0.6%,351,9.4%,3,0.1%,29,0.8%,161,4.3%,"1,489",39.8%,140,06,029,000913,,,,
Census Tract 9.14,"4,129","1,568",38.0%,210,5.1%,32,0.8%,125,3.0%,8,0.2%,24,0.6%,146,3.5%,"2,016",48.8%,140,06,029,000914,,,,
Census Tract 10.01,"3,743","1,138",30.4%,40,1.1%,17,0.5%,113,3.0%,6,0.2%,20,0.5%,79,2.1%,"2,330",62.2%,140,06,029,001001,,,,
Census Tract 10.02,"3,441",464,13.5%,57,1.7%,24,0.7%,21,0.6%,2,0.1%,24,0.7%,59,1.7%,"2,790",81.1%,140,06,029,001002,,,,
Census Tract 10.03,"3,692",487,13.2%,73,2.0%,29,0.8%,36,1.0%,0,0.0%,13,0.4%,63,1.7%,"2,991",81.0%,140,06,029,001003,,,,
Census Tract 11.01,"5,368",650,12.1%,168,3.1%,35,0.7%,24,0.4%,2,0.0%,10,0.2%,66,1.2%,"4,413",82.2%,140,06,029,001101,,,,
Census Tract 11.04,"2,876",246,8.6%,72,2.5%,32,1.1%,7,0.2%,1,0.0%,8,0.3%,51,1.8%,"2,459",85.5%,140,06,029,001104,,,,
Census Tract 11.05,"3,652",269,7.4%,60,1.6%,19,0.5%,17,0.5%,0,0.0%,16,0.4%,27,0.7%,"3,244",88.8%,140,06,029,001105,,,,
Census Tract 11.06,"2,279",137,6.0%,65,2.9%,20,0.9%,8,0.4%,2,0.1%,9,0.4%,15,0.7%,"2,023",88.8%,140,06,029,001106,,,,
Census Tract 11.07,"2,647",163,6.2%,88,3.3%,12,0.5%,6,0.2%,0,0.0%,5,0.2%,16,0.6%,"2,357",89.0%,140,06,029,001107,,,,
Census Tract 12.01,"2,892",203,7.0%,130,4.5%,23,0.8%,3,0.1%,0,0.0%,10,0.3%,28,1.0%,"2,495",86.3%,140,06,029,001201,,,,
Census Tract 12.02,"6,099",418,6.9%,413,6.8%,20,0.3%,22,0.4%,0,0.0%,5,0.1%,117,1.9%,"5,104",83.7%,140,06,029,001202,,,,
Census Tract 13.01,"5,276",338,6.4%,361,6.8%,22,0.4%,14,0.3%,0,0.0%,18,0.3%,75,1.4%,"4,448",84.3%,140,06,029,001301,,,,
Census Tract 13.02,"2,451",292,11.9%,323,13.2%,31,1.3%,5,0.2%,1,0.0%,17,0.7%,62,2.5%,"1,720",70.2%,140,06,029,001302,,,,
Census Tract 14.01,"4,750",577,12.1%,270,5.7%,17,0.4%,32,0.7%,5,0.1%,23,0.5%,93,2.0%,"3,733",78.6%,140,06,029,001401,,,,
Census Tract 14.02,"3,088",333,10.8%,188,6.1%,21,0.7%,15,0.5%,2,0.1%,16,0.5%,57,1.8%,"2,456",79.5%,140,06,029,001402,,,,
Census Tract 15,"2,944",291,9.9%,226,7.7%,20,0.7%,10,0.3%,0,0.0%,4,0.1%,52,1.8%,"2,341",79.5%,140,06,029,001500,,,,
Census Tract 16,"2,510",583,23.2%,318,12.7%,28,1.1%,129,5.1%,8,0.3%,22,0.9%,91,3.6%,"1,331",53.0%,140,06,029,001600,,,,
Census Tract 17,"4,299","2,298",53.5%,179,4.2%,24,0.6%,89,2.1%,5,0.1%,27,0.6%,245,5.7%,"1,432",33.3%,140,06,029,001700,,,,
Census Tract 18.01,"5,514","1,553",28.2%,501,9.1%,41,0.7%,172,3.1%,9,0.2%,29,0.5%,210,3.8%,"2,999",54.4%,140,06,029,001801,,,,
Census Tract 18.03,"2,754","1,382",50.2%,163,5.9%,25,0.9%,107,3.9%,6,0.2%,28,1.0%,124,4.5%,919,33.4%,140,06,029,001803,,,,
Census Tract 18.04,"3,144","1,277",40.6%,233,7.4%,24,0.8%,179,5.7%,11,0.3%,11,0.3%,123,3.9%,"1,286",40.9%,140,06,029,001804,,,,
Census Tract 19.01,"3,883","1,225",31.5%,198,5.1%,17,0.4%,156,4.0%,2,0.1%,18,0.5%,163,4.2%,"2,104",54.2%,140,06,029,001901,,,,
Census Tract 19.02,"4,802","1,255",26.1%,362,7.5%,42,0.9%,56,1.2%,2,0.0%,30,0.6%,152,3.2%,"2,903",60.5%,140,06,029,001902,,,,
Census Tract 20.01,"3,344",241,7.2%,773,23.1%,28,0.8%,53,1.6%,15,0.4%,10,0.3%,83,2.5%,"2,141",64.0%,140,06,029,002001,,,,
Census Tract 20.02,"4,392",420,9.6%,720,16.4%,36,0.8%,93,2.1%,1,0.0%,28,0.6%,111,2.5%,"2,983",67.9%,140,06,029,002002,,,,
Census Tract 21,"3,504",190,5.4%,228,6.5%,11,0.3%,4,0.1%,0,0.0%,20,0.6%,47,1.3%,"3,004",85.7%,140,06,029,002100,,,,
Census Tract 22.01,"2,753",45,1.6%,321,11.7%,11,0.4%,0,0.0%,0,0.0%,15,0.5%,41,1.5%,"2,320",84.3%,140,06,029,002201,,,,
Census Tract 22.02,"3,761",193,5.1%,515,13.7%,9,0.2%,5,0.1%,1,0.0%,10,0.3%,46,1.2%,"2,982",79.3%,140,06,029,002202,,,,
Census Tract 23.02,"3,173",102,3.2%,124,3.9%,23,0.7%,6,0.2%,4,0.1%,8,0.3%,22,0.7%,"2,884",90.9%,140,06,029,002302,,,,
Census Tract 23.03,"3,660",312,8.5%,147,4.0%,19,0.5%,22,0.6%,2,0.1%,20,0.5%,71,1.9%,"3,067",83.8%,140,06,029,002303,,,,
Census Tract 23.04,"3,244",175,5.4%,110,3.4%,8,0.2%,9,0.3%,2,0.1%,9,0.3%,30,0.9%,"2,901",89.4%,140,06,029,002304,,,,
Census Tract 23.05,"2,660",139,5.2%,41,1.5%,15,0.6%,2,0.1%,3,0.1%,5,0.2%,11,0.4%,"2,444",91.9%,140,06,029,002305,,,,
Census Tract 24.01,"2,291",418,18.2%,26,1.1%,7,0.3%,37,1.6%,3,0.1%,4,0.2%,38,1.7%,"1,758",76.7%,140,06,029,002401,,,,
Census Tract 24.02,"3,797",365,9.6%,122,3.2%,28,0.7%,123,3.2%,0,0.0%,28,0.7%,81,2.1%,"3,050",80.3%,140,06,029,002402,,,,
Census Tract 24.03,"3,116",310,9.9%,320,10.3%,9,0.3%,44,1.4%,0,0.0%,26,0.8%,48,1.5%,"2,359",75.7%,140,06,029,002403,,,,
Census Tract 25.01,"4,576",301,6.6%,503,11.0%,15,0.3%,22,0.5%,0,0.0%,5,0.1%,91,2.0%,"3,639",79.5%,140,06,029,002501,,,,
Census Tract 25.02,"2,256",40,1.8%,156,6.9%,4,0.2%,2,0.1%,0,0.0%,6,0.3%,15,0.7%,"2,033",90.1%,140,06,029,002502,,,,
Census Tract 25.03,"2,636",44,1.7%,262,9.9%,18,0.7%,7,0.3%,1,0.0%,16,0.6%,23,0.9%,"2,265",85.9%,140,06,029,002503,,,,
Census Tract 26,"3,439",295,8.6%,253,7.4%,21,0.6%,40,1.2%,0,0.0%,3,0.1%,47,1.4%,"2,780",80.8%,140,06,029,002600,,,,
Census Tract 27.01,"2,906",484,16.7%,194,6.7%,14,0.5%,29,1.0%,0,0.0%,8,0.3%,63,2.2%,"2,114",72.7%,140,06,029,002701,,,,
Census Tract 27.02,"3,020",507,16.8%,267,8.8%,8,0.3%,53,1.8%,0,0.0%,15,0.5%,63,2.1%,"2,107",69.8%,140,06,029,002702,,,,
Census Tract 28.04,"2,763","1,777",64.3%,89,3.2%,27,1.0%,69,2.5%,1,0.0%,17,0.6%,91,3.3%,692,25.0%,140,06,029,002804,,,,
Census Tract 28.06,"2,285","1,210",53.0%,99,4.3%,12,0.5%,322,14.1%,4,0.2%,3,0.1%,95,4.2%,540,23.6%,140,06,029,002806,,,,
Census Tract 28.07,"4,026","2,414",60.0%,133,3.3%,16,0.4%,182,4.5%,8,0.2%,27,0.7%,192,4.8%,"1,054",26.2%,140,06,029,002807,,,,
Census Tract 28.11,"3,905","2,232",57.2%,92,2.4%,8,0.2%,809,20.7%,1,0.0%,41,1.0%,160,4.1%,562,14.4%,140,06,029,002811,,,,
Census Tract 28.13,"4,611","1,003",21.8%,629,13.6%,21,0.5%,257,5.6%,1,0.0%,10,0.2%,148,3.2%,"2,542",55.1%,140,06,029,002813,,,,
Census Tract 28.14,"4,532",987,21.8%,583,12.9%,31,0.7%,156,3.4%,11,0.2%,46,1.0%,134,3.0%,"2,584",57.0%,140,06,029,002814,,,,
Census Tract 28.15,"4,392",963,21.9%,628,14.3%,17,0.4%,151,3.4%,0,0.0%,31,0.7%,140,3.2%,"2,462",56.1%,140,06,029,002815,,,,
Census Tract 28.16,"5,700","1,216",21.3%,472,8.3%,39,0.7%,168,2.9%,13,0.2%,32,0.6%,128,2.2%,"3,632",63.7%,140,06,029,002816,,,,
Census Tract 28.17,"5,145","1,288",25.0%,683,13.3%,26,0.5%,227,4.4%,15,0.3%,30,0.6%,182,3.5%,"2,694",52.4%,140,06,029,002817,,,,
Census Tract 28.18,"4,022","1,892",47.0%,304,7.6%,24,0.6%,117,2.9%,13,0.3%,25,0.6%,131,3.3%,"1,516",37.7%,140,06,029,002818,,,,
Census Tract 28.19,"4,873","1,725",35.4%,370,7.6%,16,0.3%,199,4.1%,16,0.3%,30,0.6%,237,4.9%,"2,280",46.8%,140,06,029,002819,,,,
Census Tract 28.20,"6,690","2,385",35.7%,397,5.9%,39,0.6%,776,11.6%,12,0.2%,44,0.7%,319,4.8%,"2,718",40.6%,140,06,029,002820,,,,
Census Tract 28.21,"4,751","1,884",39.7%,275,5.8%,17,0.4%,168,3.5%,3,0.1%,19,0.4%,197,4.1%,"2,188",46.1%,140,06,029,002821,,,,
Census Tract 28.22,"3,407","1,891",55.5%,100,2.9%,22,0.6%,295,8.7%,1,0.0%,13,0.4%,136,4.0%,949,27.9%,140,06,029,002822,,,,
Census Tract 28.23,"4,256","1,630",38.3%,273,6.4%,38,0.9%,362,8.5%,4,0.1%,26,0.6%,190,4.5%,"1,733",40.7%,140,06,029,002823,,,,
Census Tract 28.24,"2,883",523,18.1%,430,14.9%,18,0.6%,66,2.3%,1,0.0%,11,0.4%,109,3.8%,"1,725",59.8%,140,06,029,002824,,,,
Census Tract 28.25,"2,565",748,29.2%,218,8.5%,30,1.2%,45,1.8%,3,0.1%,20,0.8%,70,2.7%,"1,431",55.8%,140,06,029,002825,,,,
Census Tract 29.01,"3,074",444,14.4%,213,6.9%,11,0.4%,72,2.3%,2,0.1%,12,0.4%,59,1.9%,"2,261",73.6%,140,06,029,002901,,,,
Census Tract 29.02,"4,427",725,16.4%,588,13.3%,25,0.6%,130,2.9%,1,0.0%,46,1.0%,122,2.8%,"2,790",63.0%,140,06,029,002902,,,,
Census Tract 30.01,"4,141",410,9.9%,323,7.8%,9,0.2%,31,0.7%,12,0.3%,20,0.5%,73,1.8%,"3,263",78.8%,140,06,029,003001,,,,
Census Tract 30.02,"3,294",312,9.5%,164,5.0%,6,0.2%,48,1.5%,0,0.0%,5,0.2%,66,2.0%,"2,693",81.8%,140,06,029,003002,,,,
Census Tract 31.03,"4,822",507,10.5%,100,2.1%,13,0.3%,54,1.1%,1,0.0%,10,0.2%,60,1.2%,"4,077",84.5%,140,06,029,003103,,,,
Census Tract 31.12,"5,365","1,119",20.9%,533,9.9%,36,0.7%,332,6.2%,2,0.0%,36,0.7%,162,3.0%,"3,145",58.6%,140,06,029,003112,,,,
Census Tract 31.13,"4,904",652,13.3%,454,9.3%,11,0.2%,277,5.6%,4,0.1%,49,1.0%,81,1.7%,"3,376",68.8%,140,06,029,003113,,,,
Census Tract 31.24,"5,802","1,359",23.4%,297,5.1%,32,0.6%,609,10.5%,0,0.0%,33,0.6%,156,2.7%,"3,316",57.2%,140,06,029,003124,,,,
Census Tract 31.25,"3,194",416,13.0%,251,7.9%,17,0.5%,126,3.9%,0,0.0%,29,0.9%,53,1.7%,"2,302",72.1%,140,06,029,003125,,,,
Census Tract 31.26,"5,437",615,11.3%,577,10.6%,20,0.4%,202,3.7%,8,0.1%,29,0.5%,103,1.9%,"3,883",71.4%,140,06,029,003126,,,,
Census Tract 31.27,"4,813",381,7.9%,263,5.5%,17,0.4%,80,1.7%,1,0.0%,17,0.4%,44,0.9%,"4,010",83.3%,140,06,029,003127,,,,
Census Tract 31.28,"4,746",381,8.0%,280,5.9%,12,0.3%,119,2.5%,6,0.1%,6,0.1%,74,1.6%,"3,868",81.5%,140,06,029,003128,,,,
Census Tract 31.29,"3,787",983,26.0%,247,6.5%,12,0.3%,580,15.3%,10,0.3%,12,0.3%,165,4.4%,"1,778",47.0%,140,06,029,003129,,,,
Census Tract 31.30,"4,246","1,050",24.7%,325,7.7%,11,0.3%,473,11.1%,5,0.1%,22,0.5%,117,2.8%,"2,243",52.8%,140,06,029,003130,,,,
Census Tract 31.31,"3,715","1,012",27.2%,315,8.5%,16,0.4%,372,10.0%,8,0.2%,23,0.6%,143,3.8%,"1,826",49.2%,140,06,029,003131,,,,
Census Tract 31.32,"4,586",876,19.1%,341,7.4%,19,0.4%,272,5.9%,16,0.3%,18,0.4%,83,1.8%,"2,961",64.6%,140,06,029,003132,,,,
Census Tract 31.33,"3,176","1,032",32.5%,176,5.5%,17,0.5%,55,1.7%,4,0.1%,11,0.3%,71,2.2%,"1,810",57.0%,140,06,029,003133,,,,
Census Tract 31.34,"3,698",880,23.8%,319,8.6%,22,0.6%,"1,110",30.0%,7,0.2%,36,1.0%,113,3.1%,"1,211",32.7%,140,06,029,003134,,,,
Census Tract 31.35,"4,082",914,22.4%,244,6.0%,14,0.3%,689,16.9%,3,0.1%,19,0.5%,131,3.2%,"2,068",50.7%,140,06,029,003135,,,,
Census Tract 31.36,"2,041",302,14.8%,76,3.7%,13,0.6%,52,2.5%,3,0.1%,11,0.5%,44,2.2%,"1,540",75.5%,140,06,029,003136,,,,
Census Tract 31.37,"3,453",344,10.0%,254,7.4%,9,0.3%,69,2.0%,2,0.1%,12,0.3%,87,2.5%,"2,676",77.5%,140,06,029,003137,,,,
Census Tract 32.03,"2,294","1,382",60.2%,38,1.7%,36,1.6%,34,1.5%,0,0.0%,6,0.3%,99,4.3%,699,30.5%,140,06,029,003203,,,,
Census Tract 32.07,"4,934",315,6.4%,223,4.5%,11,0.2%,339,6.9%,4,0.1%,33,0.7%,40,0.8%,"3,969",80.4%,140,06,029,003207,,,,
Census Tract 32.08,"7,852",533,6.8%,345,4.4%,15,0.2%,516,6.6%,10,0.1%,53,0.7%,75,1.0%,"6,305",80.3%,140,06,029,003208,,,,
Census Tract 32.09,"3,686",574,15.6%,239,6.5%,12,0.3%,540,14.7%,1,0.0%,23,0.6%,110,3.0%,"2,187",59.3%,140,06,029,003209,,,,
Census Tract 32.10,"5,917",976,16.5%,373,6.3%,22,0.4%,"1,110",18.8%,5,0.1%,28,0.5%,166,2.8%,"3,237",54.7%,140,06,029,003210,,,,
Census Tract 32.11,"4,533",530,11.7%,208,4.6%,13,0.3%,825,18.2%,7,0.2%,35,0.8%,71,1.6%,"2,844",62.7%,140,06,029,003211,,,,
